Category,Lat,Long,Cases
Whooping Cough,29.03333,69.15,13
Measles,34.5654944,71.4774291,2
Polio,34.0149748,71.5804899,47
Measles,8.537981,-80.782127,3
Measles,-6.31499,143.95555,2
Measles,-4.98497,145.13758,1703
Measles,12.87972,121.77402,874
Measles,12.87972,121.77402,1485
Measles,12.87972,121.77402,672
Measles,13.546421,121.774017,1794
Measles,14.60905,121.02226,1724
Measles,10.3157,123.88544,11
Other,10.3157,123.88544,999
Measles,10.64074,122.96896,51
Measles,11.70611,122.36444,15
Measles,16.437496,121.07937,476
Measles,13.71004,122.31079,6538
Measles,12.87972,121.77402,58010
Measles,11.20363,122.56503,"2,231"
Measles,51.919438,19.145136,214
Measles,52.22968,21.01223,49
Rubella,52.50953,16.12793,5403
Rubella,53.35931,20.41955,39122
Measles,39.399872,-8.224454,1
Polio,-0.228021,15.827659,184
Measles,-4.26667,15.28333,900
Measles,45.94316,24.96676,4189
Measles,45.70618,26.08154,4154
Rubella,46.87521,25.75195,24272
Polio,61.52401,105.318756,7
Measles,48.70001,44.51667,100
Measles,54.603507,127.480172,55
Measles,44.82292,40.17545,11
Measles,46.354889,48.052719,17
Measles,46.36667,48.08333,148
Measles,43.40233,45.71875,25
Measles,55.17453,61.42668,38
Measles,56.83333,53.18333,6
Measles,42.14319,47.09498,120
Measles,55.98644,37.20211,20
Measles,55.75124,37.61842,136
Measles,54.78333,32.05,3
Measles,56.82418,53.19432,12
Other,54.70001,20.5,10
Measles,56.001251,92.88559,9
Measles,56.001251,92.88559,3
Measles,51.7634,35.38118,78
Other,55.755786,37.617633,930
Measles,68.99307,33.11845,2
Measles,57.18333,39.41667,21
Other,54.62466,39.738571,2304
Measles,58.05001,38.83333,9
Measles,60.07624,30.12138,31
Measles,45.05001,41.96667,27
Measles,55.18024,50.72639,720
Measles,51.65001,39.2,5
Measles,47.68532,41.82590,185
Measles,66.06531,76.93452,16
Measles,53.97934,47.77624,1
Measles,59.93428,30.33510,16
Measles,51.71840, 36.17648 ,219
Measles,50.58709,86.87345,32
Measles,42.14319,47.35316,526
Measles,57.16667,65.5,38
Measles,60.94312        ,76.54337,10
Measles,62.18730,92.66251,0
Measles,55.75583,37.61730,15
Measles,-2.662764,29.464359,2
Other,-13.91341,-171.73494,10
Measles,13.98738,-12.86499,560
Measles,14.4974,-14.45236,1429
Polio,15.497401,-14.452362,18
Measles,44.016521,21.005859,300
Mumps,45.26223,19.85186,119
Other,8.84165,-11.72241,10800
Measles,8.460555,-11.779889,351
Measles,8.76633,-10.89031,5
Measles,1.35208,103.81984,18
Measles,1.35208,103.81984,16
Measles,1.35208,103.81984,54
Measles,1.35208,103.81984,143
Measles,1.35208,103.81984,21
Measles,1.28009,103.85095,7
Measles,1.28009,103.85095,99
Measles,45.95498,13.6493,44
Measles,46.151241,14.995463,3
Rubella,-9.64571,160.15619,6
Measles,-9.43509,159.95124,3802
Measles,9.98699,45.29939,52
Measles,5.15215,46.19962,4288
Measles,5.152149,46.199616,17298
Measles,2.716667,44.516667,30
Measles,0.51556,42.07333,2350
Polio,2.03333,45.35001,183
Polio,2.03333,45.35001,5
Other,-29.85868, 31.02184 ,15
Measles,-30.50977,23.00168,24393
Measles,-32.84267,26.19141,2510
Measles,-30.55058,23.01833,36
Measles,-33.92487        ,21.85686,49
Measles,15.7661969,24.9042208,77
Measles,14.37827,24.904222,3000
Whooping Cough,15.7661969,24.9042208,410
Measles,12,30.75,70
Measles,8.927721,29.788925,91
Polio,8.53604,26.79678,3
Polio,9.2333333,29.8333333,1
Measles,5.97291,28.82956,20
Measles,10.07181,33.04635,6
Measles,40.463667,-3.74922,65
Measles,37.176487,-3.597929,46
Measles,42.19597,-4.83398,3802
Measles,37.85751,-2.8125,735
Measles,38.48584,-0.57129,178
Measles,39.69526,3.01757,12
Measles,41.59116,1.52086,102
Mumps,41.9818,2.8237,148
Mumps,43.55571,-5.92764,131
Mumps,43.18665,-5.91408,150
Mumps,42.49235,-8.37158,193
Rubella,41.04894,-0.13063,17
Rubella,41.37681,-4.57031,58
Other,41.59116,1.51224,1
Whooping Cough,40.4636670,-3.749220,4822
Measles,18.92283,32.13828,37
Measles,17.30869,29.9707,5616
Measles,12.0558,24.89041,4
Measles,14.37827,24.90422,2
Measles,12.00000,30.75000,1800
